OPC-N3 Iss1.1 FirmwareVer=1.17a...........................BS
OPC-N3 177721520                                            
Config info:
LaserDAC,110
FanDAC,255
ToFtoSFRfactor,56
PVP(us/48),48
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23
BoundaryADC,14,40,80,120,145,215,340,590,846,1363,2029,2848,4119,5527,7076,8624,10204,11815,13457,15897,18305,20698,22966,25140,27158
Boundary_um,0.350,0.460,0.660,1.000,1.300,1.700,2.300,3.000,4.000,5.200,6.500,8.000,10.000,12.000,14.000,16.000,18.000,20.000,22.000,25.000,28.000,31.000,34.000,37.000,40.000
BinWeighting,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Temp(C),RH(%),PM_1.000(ug/m^3),PM_2.500(ug/m^3),PM_10.000(ug/m^3),#RjtGlitch,#RjtLong,#RjtRatio,#RjtRange,#FanRevs,LaserStatus
189,20,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0.690,4.630,29.341,56.221,5.198,7.533,7.807,17,0,95,2,0,600
186,9,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,32,36,0,0.680,4.320,29.371,57.648,4.479,8.606,12.090,10,0,96,2,0,599
171,10,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,36,0,0,0.680,4.230,29.384,57.691,4.685,9.303,35.503,17,0,119,2,0,600
179,14,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,42,0,0,0.680,4.170,29.371,57.767,4.530,7.241,10.179,15,0,102,2,0,601
175,18,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0.680,3.970,29.411,57.795,5.113,6.873,7.088,16,0,98,3,0,602
173,16,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,40,0,0.680,3.980,29.384,57.854,5.733,12.317,14.150,12,0,97,5,0,601
180,13,6,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,43,0,0.680,3.980,29.411,57.827,5.315,9.325,89.074,16,0,105,3,0,602
176,18,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,27,0,0,0.680,3.920,29.440,57.822,5.452,6.868,6.991,13,0,97,1,0,601
211,21,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,37,0,40,0.680,4.090,29.427,57.808,5.686,8.663,18.212,16,0,129,3,0,602
185,20,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,30,0,0,0.680,4.140,29.454,57.813,5.857,8.651,8.907,12,0,101,2,0,601
188,19,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,35,0,0.680,4.180,29.440,57.787,5.220,7.753,8.525,21,0,114,2,0,600
197,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0.680,4.060,29.454,57.726,4.696,4.941,4.943,13,0,117,1,0,600
210,13,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,34,0,0,0.680,4.100,29.483,57.730,6.614,9.006,9.165,16,0,109,0,0,600
183,11,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,40,0,0.680,3.950,29.496,57.689,5.252,8.013,8.830,21,0,117,6,0,599
183,19,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,33,0,0.680,3.900,29.510,57.671,5.489,8.203,9.030,16,0,107,2,0,600
208,26,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0.680,4.100,29.526,57.640,5.851,6.857,6.962,17,0,128,2,0,600
202,27,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,30,34,42,0.680,4.160,29.526,57.563,6.075,11.338,21.502,19,0,96,8,0,600
183,18,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,32,33,0,0.680,4.260,29.552,57.567,5.145,7.448,8.130,16,0,105,1,0,600
189,16,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0.680,4.020,29.582,57.497,5.390,6.792,54.692,15,0,101,4,0,601
188,17,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,29,0,0,0.680,4.080,29.582,57.465,5.687,9.882,13.016,15,0,124,3,0,601
207,14,8,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,32,34,0,0.680,3.900,29.595,57.456,6.691,10.747,11.700,12,0,101,6,0,601
