OPC-N3 Iss1.1 FirmwareVer=1.17a...........................BS
OPC-N3 177721520                                            
Config info:
LaserDAC,110
FanDAC,255
ToFtoSFRfactor,56
PVP(us/48),48
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23
BoundaryADC,14,40,80,120,145,215,340,590,846,1363,2029,2848,4119,5527,7076,8624,10204,11815,13457,15897,18305,20698,22966,25140,27158
Boundary_um,0.350,0.460,0.660,1.000,1.300,1.700,2.300,3.000,4.000,5.200,6.500,8.000,10.000,12.000,14.000,16.000,18.000,20.000,22.000,25.000,28.000,31.000,34.000,37.000,40.000
BinWeighting,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Temp(C),RH(%),PM_1.000(ug/m^3),PM_2.500(ug/m^3),PM_10.000(ug/m^3),#RjtGlitch,#RjtLong,#RjtRatio,#RjtRange,#FanRevs,LaserStatus
85,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,59,0.690,3.060,33.256,45.221,2.887,6.316,18.878,6,0,35,1,0,599
87,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0.680,3.520,33.339,45.728,2.379,2.432,2.432,9,0,41,3,0,599
80,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0.680,4.320,33.339,45.716,2.011,3.446,3.643,6,0,31,0,0,598
77,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,31,0,0,0.680,4.420,33.382,45.720,2.434,4.654,4.882,5,0,32,2,0,598
99,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,36,0,0.680,4.470,33.382,45.687,2.287,4.431,5.151,3,0,27,1,0,597
73,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0.680,4.450,33.368,45.670,1.594,1.673,1.673,12,0,27,3,0,597
86,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0.680,4.360,33.414,45.654,2.092,2.279,2.281,10,0,35,1,0,597
75,6,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,32,36,0,0.680,4.410,33.440,45.668,2.288,4.819,5.562,9,0,34,3,0,598
73,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0.680,4.430,33.440,45.574,1.493,1.521,1.521,5,0,37,3,0,598
82,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,34,0,0.680,4.370,33.454,45.645,2.036,4.269,5.007,8,0,26,1,0,597
91,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0.680,4.420,33.496,45.581,2.094,2.233,2.234,14,0,36,3,0,597
84,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,42,0.680,4.510,33.496,45.487,1.969,4.330,12.979,6,0,24,4,0,597
90,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,33,0,0,0.680,4.500,33.553,45.481,2.145,2.529,2.541,9,0,30,4,0,597
78,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,43,0.680,4.500,33.569,45.471,1.910,5.558,14.415,5,0,16,0,0,598
77,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0.680,4.540,33.582,45.426,1.635,1.713,1.713,6,0,27,1,0,599
82,4,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,42,0,0.680,4.570,33.609,45.394,1.954,5.050,27.230,8,0,36,0,0,598
69,5,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,46,41,0.680,4.600,33.625,45.336,1.930,8.356,20.187,6,0,24,1,0,598
89,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,31,0,0.680,4.620,33.665,45.317,2.007,4.117,4.814,7,0,18,1,0,598
95,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0.680,4.640,33.665,45.221,2.042,2.733,2.825,3,0,38,2,0,598
86,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,31,0,0.680,4.620,33.694,45.226,1.960,3.660,4.277,8,0,37,5,0,597
89,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,31,0,0,0.680,4.210,33.707,45.166,2.369,2.787,2.801,12,0,24,0,0,596
90,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,30,0,0,0.680,4.190,33.737,45.088,2.189,2.547,2.560,4,0,34,2,0,597
90,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0.680,4.170,33.750,45.018,2.288,4.724,7.650,4,0,28,1,0,595
73,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0.680,4.160,33.780,45.037,1.590,1.619,1.619,9,0,36,1,0,595
102,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0.680,4.150,33.820,45.006,2.373,3.144,3.246,5,0,38,2,0,595
77,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,40,0,0,0.680,4.180,33.865,44.963,1.987,2.347,2.360,4,0,36,3,0,596
88,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,30,0,0,0.680,4.250,33.878,44.895,2.262,2.627,2.640,7,0,38,0,0,596
80,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0.680,4.250,33.865,44.917,1.978,4.971,7.942,9,0,34,2,0,597
94,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,31,0,0,0.680,4.230,33.878,44.858,2.761,4.610,4.824,8,0,40,1,0,597
107,4,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,36,0,0.680,4.250,33.894,44.837,2.737,6.680,10.210,8,0,30,1,0,597
89,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0.680,4.190,33.934,44.794,2.355,3.181,3.283,6,0,35,2,0,598
88,3,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,30,0,0,0.680,4.200,33.950,44.711,2.386,5.949,8.979,9,0,40,3,0,598
93,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0.680,4.240,33.977,44.679,2.091,2.137,2.137,8,0,24,2,0,598
76,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0.680,4.190,33.977,44.597,2.117,2.986,3.089,10,0,27,1,0,598
