OPC-N3 Iss1.1 FirmwareVer=1.17a...........................BS
OPC-N3 177721520                                            
Config info:
LaserDAC,110
FanDAC,255
ToFtoSFRfactor,56
PVP(us/48),48
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23
BoundaryADC,14,40,80,120,145,215,340,590,846,1363,2029,2848,4119,5527,7076,8624,10204,11815,13457,15897,18305,20698,22966,25140,27158
Boundary_um,0.350,0.460,0.660,1.000,1.300,1.700,2.300,3.000,4.000,5.200,6.500,8.000,10.000,12.000,14.000,16.000,18.000,20.000,22.000,25.000,28.000,31.000,34.000,37.000,40.000
BinWeighting,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Temp(C),RH(%),PM_1.000(ug/m^3),PM_2.500(ug/m^3),PM_10.000(ug/m^3),#RjtGlitch,#RjtLong,#RjtRatio,#RjtRange,#FanRevs,LaserStatus
64,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0.680,3.520,33.256,47.524,1.841,1.888,1.888,7,0,26,4,0,599
49,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,33,0,0,0.680,3.440,33.283,47.469,2.050,3.628,3.782,8,0,26,2,0,600
66,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0.680,3.470,33.312,47.463,1.973,2.026,2.026,10,0,23,0,0,599
69,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,33,0,0,0.680,3.540,33.355,47.432,2.139,2.507,2.522,3,0,20,0,0,599
60,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0.680,3.500,33.355,47.396,1.721,1.817,1.818,3,0,15,3,0,599
77,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,32,0,0,0.680,3.460,33.382,47.353,2.283,2.709,2.724,7,0,23,1,0,598
95,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0.680,3.520,33.414,47.298,2.875,3.009,3.010,9,0,31,1,0,598
88,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0.680,3.500,33.440,47.252,2.495,3.024,92.110,10,0,32,0,0,598
91,10,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0.680,3.470,33.440,47.180,3.391,5.341,5.587,12,0,28,0,0,597
70,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0.680,3.390,33.454,47.075,2.318,2.445,2.446,7,0,32,3,0,597
91,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0.680,3.400,33.510,47.025,2.798,2.874,2.874,3,0,29,1,0,597
79,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0.680,3.510,33.496,46.918,2.267,3.171,3.292,9,0,43,2,0,597
78,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0.680,3.560,33.553,46.865,2.299,2.468,2.469,8,0,21,1,0,597
72,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0.680,3.610,33.569,46.796,2.499,3.569,3.689,7,0,37,0,0,598
84,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0.680,3.620,33.569,46.736,2.153,2.249,2.249,7,0,23,2,0,599
100,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,44,0,0.680,3.530,33.638,46.686,3.248,6.348,7.276,5,0,23,0,0,600
73,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0.680,3.510,33.625,46.636,2.215,2.384,2.386,7,0,24,0,0,600
84,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0.680,3.540,33.625,46.507,2.067,2.100,2.100,6,0,35,2,0,601
74,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.680,3.540,33.681,46.361,2.126,2.339,2.341,8,0,32,1,0,601
64,7,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,42,0,0.680,3.590,33.694,46.195,2.157,7.763,65.575,6,0,29,2,0,600
87,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0.680,3.600,33.707,46.044,2.392,5.145,8.535,8,0,32,1,0,599
77,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0.680,3.510,33.750,46.002,2.036,2.077,2.077,8,0,24,1,0,598
74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0.680,3.510,33.764,45.911,1.792,1.818,1.818,6,0,27,0,0,598
63,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0.680,3.600,33.793,45.876,1.777,1.823,1.823,6,0,37,1,0,598
71,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0.680,3.580,33.793,45.793,1.935,2.438,89.533,7,0,30,1,0,598
79,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0.680,3.610,33.806,45.774,2.214,2.322,2.322,7,0,37,1,0,598
69,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0.680,3.590,33.820,45.764,1.961,2.116,2.117,5,0,28,1,0,598
82,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,52,0.680,3.610,33.852,45.706,2.114,4.985,15.790,5,0,31,1,0,597
85,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0.680,3.560,33.852,45.647,2.347,2.508,2.510,14,0,30,0,0,600
68,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,40,0,0.680,3.550,33.894,45.581,2.153,5.791,7.366,6,0,30,0,0,600
71,6,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,35,0,0.680,3.500,33.908,45.560,2.683,4.812,5.613,6,0,23,0,0,600
53,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0.680,3.550,33.908,45.513,1.784,1.950,1.951,10,0,19,0,0,600
77,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,34,0,0.680,3.560,33.921,45.514,2.336,4.290,5.076,8,0,28,1,0,600
86,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0.680,3.570,33.964,45.531,2.421,4.595,32.205,8,0,23,2,0,599
62,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,30,0,0,0.680,3.560,33.950,45.458,1.815,2.220,2.235,6,0,27,2,0,598
83,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,34,0,0,0.680,3.610,33.977,45.436,2.626,3.112,3.128,8,0,31,1,0,598
71,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0.670,3.670,34.020,45.432,1.839,1.878,1.878,8,0,33,0,0,598
74,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0.680,3.680,34.033,45.409,1.970,2.118,2.119,9,0,33,2,0,597
82,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0.680,3.770,34.063,45.389,2.131,2.231,2.232,6,0,29,2,0,597
77,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0.680,3.740,34.076,45.403,2.320,3.238,3.352,11,0,28,0,0,597
87,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,39,0.680,3.740,34.076,45.380,2.367,5.158,15.587,7,0,33,3,0,597
72,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,32,0,0,0.680,3.760,34.089,45.371,2.261,2.673,2.688,6,0,28,1,0,597
98,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0.680,3.700,34.119,45.372,2.657,2.825,2.826,8,0,30,2,0,597
