OPC-N3 Iss1.1 FirmwareVer=1.17a...........................BS
OPC-N3 177721520                                            
Config info:
LaserDAC,110
FanDAC,255
ToFtoSFRfactor,56
PVP(us/48),48
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23
BoundaryADC,14,40,80,120,145,215,340,590,846,1363,2029,2848,4119,5527,7076,8624,10204,11815,13457,15897,18305,20698,22966,25140,27158
Boundary_um,0.350,0.460,0.660,1.000,1.300,1.700,2.300,3.000,4.000,5.200,6.500,8.000,10.000,12.000,14.000,16.000,18.000,20.000,22.000,25.000,28.000,31.000,34.000,37.000,40.000
BinWeighting,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Temp(C),RH(%),PM_1.000(ug/m^3),PM_2.500(ug/m^3),PM_10.000(ug/m^3),#RjtGlitch,#RjtLong,#RjtRatio,#RjtRange,#FanRevs,LaserStatus
105,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,41,0.690,4.300,34.274,44.739,2.407,5.445,14.481,6,0,40,7,0,598
87,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,32,0,0.680,4.450,34.300,43.874,2.075,5.737,9.108,11,0,37,4,0,599
89,5,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,34,0,0,0.680,4.720,34.319,43.862,2.046,5.910,122.792,7,0,42,5,0,600
84,4,1,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,33,40,0.680,4.780,34.332,43.825,1.872,9.672,88.751,16,0,41,3,0,600
91,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,33,0,0,0.680,4.960,34.346,43.775,1.996,4.265,6.736,9,0,42,2,0,599
90,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0.680,4.890,34.375,43.778,1.861,3.413,23.569,12,0,47,2,0,598
85,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0.680,4.950,34.388,43.741,1.673,3.199,23.111,11,0,33,3,0,598
105,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,37,0,0.680,4.980,34.375,43.610,2.029,5.296,8.307,5,0,39,2,0,597
91,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0.680,4.980,34.375,43.546,1.844,1.928,1.928,8,0,40,1,0,598
98,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,30,0,0,0.680,5.040,34.415,43.384,2.071,2.380,2.391,10,0,31,4,0,597
