"timestamp","pm10","pm2.5","pm1","noise","illuminance","irradiance","temperature","humidity","presure","voltage","batery","panel","sensor"
"2020-09-08T19:21:55.000Z","{""value"":0.9,""max"":2,""min"":0,""sd"":0.94}","{""value"":0.13,""max"":1,""min"":0,""sd"":0.5}","{""value"":0.1,""max"":1,""min"":0,""sd"":0.47}",,,,,,,,,,2
"2020-09-08T19:21:55.000Z","{""value"":2.03,""max"":6,""min"":0,""sd"":1.33}","{""value"":0.9,""max"":2,""min"":0,""sd"":0.69}","{""value"":0.43,""max"":1,""min"":0,""sd"":0.71}","{""value"":0,""max"":0.43,""min"":0,""sd"":0.07}","{""value"":20.68,""max"":21,""min"":20,""sd"":0.67}","{""value"":226.39,""max"":233,""min"":221,""sd"":3.17}","{""value"":26.49,""max"":26.66,""min"":26.33,""sd"":0.19}","{""value"":58.61,""max"":59.63,""min"":57.02,""sd"":0.85}","{""value"":900.53,""max"":900.62,""min"":900.44,""sd"":0.15}","{""value"":4.92,""max"":4.92,""min"":4.91,""sd"":0.02}","{""value"":4.08,""max"":4.09,""min"":4.08,""sd"":0.04}","{""value"":5.66,""max"":5.92,""min"":4.92,""sd"":0.38}",
"2020-09-08T19:06:43.000Z","{""value"":0,""max"":0,""min"":0,""sd"":0}","{""value"":0,""max"":0,""min"":0,""sd"":0}","{""value"":0,""max"":0,""min"":0,""sd"":0}",,,,,,,,,,2
"2020-09-08T19:06:43.000Z","{""value"":2.07,""max"":6,""min"":1,""sd"":1.49}","{""value"":0.87,""max"":1,""min"":0,""sd"":0.35}","{""value"":0.47,""max"":1,""min"":0,""sd"":0.52}","{""value"":0,""max"":0.46,""min"":0,""sd"":0.08}","{""value"":20.37,""max"":21,""min"":19,""sd"":0.62}","{""value"":231.95,""max"":261,""min"":219,""sd"":9.69}","{""value"":26.6,""max"":26.8,""min"":26.49,""sd"":0.17}","{""value"":58.35,""max"":59.82,""min"":56.23,""sd"":0.88}","{""value"":900.63,""max"":900.72,""min"":900.52,""sd"":0.15}","{""value"":4.92,""max"":4.92,""min"":4.92,""sd"":0.02}","{""value"":4.08,""max"":4.09,""min"":4.08,""sd"":0.05}","{""value"":5.84,""max"":5.95,""min"":5.75,""sd"":0.11}",
"2020-09-08T18:51:28.000Z","{""value"":2.6,""max"":6,""min"":0,""sd"":1.2}","{""value"":1.6,""max"":2,""min"":0,""sd"":0.75}","{""value"":0.4,""max"":1,""min"":0,""sd"":0.7}","{""value"":0,""max"":0.44,""min"":0,""sd"":0.1}","{""value"":20.99,""max"":22,""min"":20,""sd"":0.66}","{""value"":217.61,""max"":230,""min"":202,""sd"":7.46}","{""value"":26.82,""max"":26.99,""min"":26.56,""sd"":0.22}","{""value"":57.41,""max"":58.36,""min"":56.11,""sd"":0.71}","{""value"":900.74,""max"":900.85,""min"":900.63,""sd"":0.15}","{""value"":4.92,""max"":4.92,""min"":4.92,""sd"":0.03}","{""value"":4.09,""max"":4.09,""min"":4.08,""sd"":0.04}","{""value"":5.53,""max"":5.86,""min"":4.92,""sd"":0.41}",
"2020-09-08T18:51:28.000Z","{""value"":0.63,""max"":2,""min"":0,""sd"":0.75}","{""value"":0.33,""max"":1,""min"":0,""sd"":0.69}","{""value"":0.33,""max"":1,""min"":0,""sd"":0.69}",,,,,,,,,,2
"2020-09-08T18:35:25.000Z","{""value"":1.33,""max"":3,""min"":0,""sd"":1.23}","{""value"":0.6,""max"":2,""min"":0,""sd"":0.63}","{""value"":0.53,""max"":1,""min"":0,""sd"":0.52}",,,,,,,,,,2
"2020-09-08T18:35:25.000Z","{""value"":3.93,""max"":7,""min"":2,""sd"":1.75}","{""value"":2.13,""max"":3,""min"":2,""sd"":0.35}","{""value"":0.93,""max"":1,""min"":0,""sd"":0.26}","{""value"":0,""max"":0.44,""min"":0,""sd"":0.06}","{""value"":18.66,""max"":20,""min"":16,""sd"":1.05}","{""value"":274.44,""max"":344,""min"":237,""sd"":22.68}","{""value"":26.77,""max"":26.92,""min"":26.58,""sd"":0.2}","{""value"":56.31,""max"":57.39,""min"":54.58,""sd"":0.85}","{""value"":900.96,""max"":901.09,""min"":900.84,""sd"":0.16}","{""value"":4.92,""max"":4.92,""min"":4.92,""sd"":0.04}","{""value"":4.09,""max"":4.09,""min"":4.08,""sd"":0.04}","{""value"":5.72,""max"":6.04,""min"":4.94,""sd"":0.4}",
"2020-09-08T18:19:15.000Z","{""value"":5.73,""max"":11,""min"":2,""sd"":1.26}","{""value"":3.23,""max"":4,""min"":2,""sd"":0.75}","{""value"":2.37,""max"":4,""min"":1,""sd"":0.86}","{""value"":0,""max"":0.4,""min"":0,""sd"":0.08}","{""value"":15.63,""max"":17,""min"":14,""sd"":1}","{""value"":374.79,""max"":453,""min"":314,""sd"":37.92}","{""value"":26.6,""max"":26.71,""min"":26.49,""sd"":0.18}","{""value"":57.05,""max"":58.29,""min"":56.04,""sd"":0.73}","{""value"":901.2,""max"":901.33,""min"":901.07,""sd"":0.16}","{""value"":4.92,""max"":4.92,""min"":4.92,""sd"":0.03}","{""value"":4.09,""max"":4.09,""min"":4.08,""sd"":0.04}","{""value"":6.12,""max"":6.23,""min"":5.98,""sd"":0.13}",
"2020-09-08T18:19:15.000Z","{""value"":3.1,""max"":7,""min"":0,""sd"":1.29}","{""value"":2.03,""max"":4,""min"":0,""sd"":1}","{""value"":1.53,""max"":3,""min"":0,""sd"":0.91}",,,,,,,,,,2
