"timestamp","sensor","pm10","pm2.5","pm1","noise","illuminance","irradiance","temperature","humidity","presure","voltage","batery","panel"
"2020-09-11T18:41:47.000Z",2,"{""value"":19.27,""max"":21,""min"":18,""sd"":0.96}","{""value"":18.73,""max"":21,""min"":17,""sd"":1.03}","{""value"":14.4,""max"":16,""min"":13,""sd"":0.83}",,,,,,,,,
"2020-09-11T18:26:34.000Z",2,"{""value"":20.2,""max"":22,""min"":19,""sd"":1.15}","{""value"":19.6,""max"":22,""min"":18,""sd"":1.24}","{""value"":15.47,""max"":17,""min"":14,""sd"":0.99}",,,,,,,,,
"2020-09-11T18:26:34.000Z",,"{""value"":25.6,""max"":32,""min"":18,""sd"":5.36}","{""value"":22.47,""max"":27,""min"":17,""sd"":3.31}","{""value"":13.27,""max"":14,""min"":13,""sd"":0.46}","{""value"":0.26,""max"":1.12,""min"":0.14,""sd"":0.25}","{""value"":59.57,""max"":72,""min"":58,""sd"":1.71}","{""value"":0,""max"":0,""min"":0,""sd"":0}","{""value"":28.64,""max"":29,""min"":28.38,""sd"":0.27}","{""value"":55.18,""max"":56.71,""min"":52.28,""sd"":0.98}","{""value"":897,""max"":897.25,""min"":896.71,""sd"":0.24}","{""value"":5.04,""max"":5.05,""min"":5.04,""sd"":0.02}","{""value"":4.21,""max"":4.21,""min"":4.21,""sd"":0}","{""value"":0.01,""max"":0.02,""min"":0.01,""sd"":0.06}"
"2020-09-11T18:11:20.000Z",,"{""value"":25.77,""max"":31,""min"":20,""sd"":3.19}","{""value"":24.77,""max"":30,""min"":19,""sd"":3.03}","{""value"":16.83,""max"":19,""min"":13,""sd"":1.73}","{""value"":0.25,""max"":0.75,""min"":0.16,""sd"":0.21}","{""value"":79.31,""max"":96,""min"":60,""sd"":11.44}","{""value"":0,""max"":0,""min"":0,""sd"":0}","{""value"":28.98,""max"":29.03,""min"":28.9,""sd"":0.13}","{""value"":51.17,""max"":53.2,""min"":49.33,""sd"":1.27}","{""value"":897.27,""max"":897.62,""min"":896.87,""sd"":0.27}","{""value"":5.04,""max"":5.05,""min"":5.04,""sd"":0.04}","{""value"":4.21,""max"":4.21,""min"":4.21,""sd"":0}","{""value"":0.02,""max"":0.06,""min"":0.01,""sd"":0.08}"
"2020-09-11T18:11:20.000Z",2,"{""value"":24.13,""max"":28,""min"":20,""sd"":2.26}","{""value"":23.7,""max"":28,""min"":19,""sd"":2.21}","{""value"":18.1,""max"":20,""min"":15,""sd"":1.37}",,,,,,,,,
"2020-09-11T17:56:07.000Z",2,"{""value"":29,""max"":30,""min"":27,""sd"":1.07}","{""value"":27.73,""max"":29,""min"":26,""sd"":0.96}","{""value"":19.87,""max"":21,""min"":19,""sd"":0.83}",,,,,,,,,
"2020-09-11T17:56:07.000Z",,"{""value"":28.4,""max"":32,""min"":25,""sd"":2.44}","{""value"":27.07,""max"":30,""min"":24,""sd"":1.71}","{""value"":19.13,""max"":20,""min"":18,""sd"":0.52}","{""value"":0.25,""max"":0.62,""min"":0.15,""sd"":0.2}","{""value"":74.52,""max"":96,""min"":65,""sd"":10.4}","{""value"":0,""max"":0,""min"":0,""sd"":0}","{""value"":29,""max"":29.08,""min"":28.89,""sd"":0.15}","{""value"":50.82,""max"":52.37,""min"":48.93,""sd"":0.98}","{""value"":897.6,""max"":897.82,""min"":897.4,""sd"":0.25}","{""value"":5.04,""max"":5.04,""min"":5.04,""sd"":0}","{""value"":4.21,""max"":4.21,""min"":4.21,""sd"":0}","{""value"":0.01,""max"":0.02,""min"":0.01,""sd"":0.07}"
"2020-09-11T17:40:53.000Z",,"{""value"":17.93,""max"":21,""min"":16,""sd"":1.2}","{""value"":17.73,""max"":20,""min"":16,""sd"":1.29}","{""value"":13.2,""max"":16,""min"":11,""sd"":1.75}","{""value"":0.28,""max"":1.22,""min"":0.15,""sd"":0.25}","{""value"":69.03,""max"":70,""min"":67,""sd"":1.15}","{""value"":0,""max"":0,""min"":0,""sd"":0}","{""value"":29.05,""max"":29.11,""min"":28.97,""sd"":0.14}","{""value"":48.04,""max"":50.38,""min"":44.57,""sd"":1.58}","{""value"":897.89,""max"":898.08,""min"":897.67,""sd"":0.24}","{""value"":5.04,""max"":5.05,""min"":5.04,""sd"":0.03}","{""value"":4.21,""max"":4.21,""min"":4.21,""sd"":0}","{""value"":0.02,""max"":0.03,""min"":0.01,""sd"":0.07}"
"2020-09-11T17:40:53.000Z",2,"{""value"":19.77,""max"":23,""min"":17,""sd"":1.86}","{""value"":19.27,""max"":22,""min"":16,""sd"":1.84}","{""value"":15.37,""max"":18,""min"":13,""sd"":1.6}",,,,,,,,,
"2020-09-11T17:25:40.000Z",2,"{""value"":23.73,""max"":26,""min"":21,""sd"":1.75}","{""value"":23.07,""max"":26,""min"":20,""sd"":1.83}","{""value"":17.6,""max"":20,""min"":16,""sd"":1.12}",,,,,,,,,
