"timestamp","sensor","pm10","pm2.5","pm1","noise","illuminance","irradiance","temperature","humidity","presure","voltage","batery","panel"
"2020-09-10T20:33:04.000Z",2,"{""value"":13.9,""max"":17,""min"":10,""sd"":1.32}","{""value"":13.37,""max"":17,""min"":10,""sd"":1.34}","{""value"":9.7,""max"":12,""min"":8,""sd"":1.15}",,,,,,,,,
"2020-09-10T20:33:04.000Z",,"{""value"":14.33,""max"":23,""min"":10,""sd"":1.76}","{""value"":11.23,""max"":13,""min"":10,""sd"":1}","{""value"":8.27,""max"":10,""min"":6,""sd"":1.16}","{""value"":0.15,""max"":0.44,""min"":0.09,""sd"":0.18}","{""value"":29.19,""max"":33,""min"":24,""sd"":2.84}","{""value"":131.74,""max"":187,""min"":105,""sd"":21.02}","{""value"":26.57,""max"":26.77,""min"":26.34,""sd"":0.19}","{""value"":64.74,""max"":65.8,""min"":64.27,""sd"":0.53}","{""value"":898.62,""max"":898.81,""min"":898.43,""sd"":0.19}",,,
"2020-09-10T20:17:52.000Z",2,"{""value"":13.73,""max"":15,""min"":12,""sd"":0.96}","{""value"":13.27,""max"":15,""min"":12,""sd"":0.88}","{""value"":10.13,""max"":12,""min"":9,""sd"":0.99}",,,,,,,,,
"2020-09-10T20:17:52.000Z",,"{""value"":15.4,""max"":26,""min"":11,""sd"":4.29}","{""value"":13.13,""max"":16,""min"":11,""sd"":1.41}","{""value"":8.2,""max"":9,""min"":8,""sd"":0.41}","{""value"":0.13,""max"":0.36,""min"":0.09,""sd"":0.14}","{""value"":23.36,""max"":32,""min"":18,""sd"":5.17}","{""value"":230.78,""max"":317,""min"":114,""sd"":73.49}","{""value"":25.91,""max"":26.32,""min"":25.5,""sd"":0.31}","{""value"":67,""max"":67.84,""min"":65.73,""sd"":0.66}","{""value"":898.81,""max"":898.97,""min"":898.72,""sd"":0.15}",,,
"2020-09-10T20:01:42.000Z",,"{""value"":22.27,""max"":35,""min"":14,""sd"":4.8}","{""value"":17.23,""max"":22,""min"":13,""sd"":2.63}","{""value"":10.6,""max"":15,""min"":7,""sd"":2.43}","{""value"":0.15,""max"":0.45,""min"":0.09,""sd"":0.17}","{""value"":21.93,""max"":35,""min"":16,""sd"":3.47}","{""value"":253.65,""max"":383,""min"":99,""sd"":63.51}","{""value"":25.26,""max"":25.49,""min"":25.1,""sd"":0.19}","{""value"":69.38,""max"":70.78,""min"":68.07,""sd"":0.84}","{""value"":898.89,""max"":898.96,""min"":898.82,""sd"":0.14}",,,
"2020-09-10T20:01:42.000Z",2,"{""value"":18.77,""max"":23,""min"":13,""sd"":2.84}","{""value"":17.37,""max"":22,""min"":11,""sd"":2.92}","{""value"":12.4,""max"":16,""min"":9,""sd"":2.49}",,,,,,,,,
"2020-09-10T19:45:33.000Z",,"{""value"":16.2,""max"":23,""min"":14,""sd"":2.34}","{""value"":13.33,""max"":14,""min"":12,""sd"":0.72}","{""value"":9.53,""max"":11,""min"":7,""sd"":1.19}","{""value"":0.15,""max"":0.4,""min"":0.1,""sd"":0.17}","{""value"":34.57,""max"":39,""min"":26,""sd"":2.8}","{""value"":104.22,""max"":171,""min"":84,""sd"":16.85}","{""value"":25.22,""max"":25.34,""min"":25.07,""sd"":0.14}","{""value"":70.16,""max"":70.82,""min"":69.4,""sd"":0.47}","{""value"":899.01,""max"":899.09,""min"":898.91,""sd"":0.14}",,,
"2020-09-10T19:45:33.000Z",2,"{""value"":16,""max"":18,""min"":13,""sd"":1.73}","{""value"":14.07,""max"":17,""min"":11,""sd"":1.91}","{""value"":11.47,""max"":14,""min"":10,""sd"":1.36}",,,,,,,,,
"2020-09-10T19:30:18.000Z",,"{""value"":18.93,""max"":30,""min"":13,""sd"":2.95}","{""value"":12.5,""max"":16,""min"":9,""sd"":2.1}","{""value"":8.07,""max"":10,""min"":6,""sd"":1.2}","{""value"":0.16,""max"":0.72,""min"":0.1,""sd"":0.2}","{""value"":43.52,""max"":55,""min"":38,""sd"":4.13}","{""value"":69.52,""max"":85,""min"":46,""sd"":9.72}","{""value"":25.42,""max"":25.54,""min"":25.29,""sd"":0.14}","{""value"":69.99,""max"":70.83,""min"":68.88,""sd"":0.63}","{""value"":899.16,""max"":899.3,""min"":899.06,""sd"":0.15}",,,
"2020-09-10T19:30:18.000Z",2,"{""value"":13.47,""max"":17,""min"":7,""sd"":2.16}","{""value"":11.87,""max"":15,""min"":7,""sd"":2.07}","{""value"":9.13,""max"":11,""min"":6,""sd"":1.63}",,,,,,,,,
"2020-09-10T19:15:04.000Z",,"{""value"":12.07,""max"":22,""min"":8,""sd"":4.46}","{""value"":9.33,""max"":11,""min"":8,""sd"":0.82}","{""value"":5.93,""max"":7,""min"":5,""sd"":0.59}","{""value"":0.15,""max"":0.92,""min"":0.09,""sd"":0.18}","{""value"":73.73,""max"":100,""min"":55,""sd"":12.63}","{""value"":28.7,""max"":46,""min"":16,""sd"":7.64}","{""value"":25.81,""max"":25.98,""min"":25.55,""sd"":0.22}","{""value"":68.12,""max"":70.17,""min"":66.41,""sd"":1.12}","{""value"":899.41,""max"":899.58,""min"":899.28,""sd"":0.16}",,,
"2020-09-10T19:15:04.000Z",2,"{""value"":10.93,""max"":14,""min"":9,""sd"":1.67}","{""value"":9.4,""max"":11,""min"":9,""sd"":0.74}","{""value"":7.87,""max"":9,""min"":7,""sd"":0.64}",,,,,,,,,
"2020-09-10T18:58:34.000Z",,"{""value"":9.57,""max"":20,""min"":5,""sd"":1.94}","{""value"":7.07,""max"":9,""min"":5,""sd"":0.95}","{""value"":4.93,""max"":6,""min"":4,""sd"":0.93}","{""value"":0.15,""max"":0.48,""min"":0.1,""sd"":0.17}","{""value"":104.12,""max"":116,""min"":90,""sd"":8.74}","{""value"":15.85,""max"":19,""min"":12,""sd"":2.26}","{""value"":26.22,""max"":26.42,""min"":26.03,""sd"":0.23}","{""value"":65.64,""max"":67.47,""min"":64.06,""sd"":1.02}","{""value"":899.63,""max"":899.74,""min"":899.52,""sd"":0.14}",,,
"2020-09-10T18:58:34.000Z",2,"{""value"":8.93,""max"":12,""min"":6,""sd"":1.13}","{""value"":7.8,""max"":10,""min"":6,""sd"":1.01}","{""value"":6.4,""max"":8,""min"":5,""sd"":0.85}",,,,,,,,,
